Task Name,Assignee,Due Date,Priority,Section,Description,Tags
Fix Mobile Simulator Days 4-7 Status,Code,2025-10-28,High,URGENT,"Mobile Simulator deadline is 28. oktober (2 days!). Days 1-3 complete but Days 4-7 status unknown. Tasks: 1) Check CODE_STATUS_MOBILE_SIMULATOR_DAG1_2_COMPLETE.md 2) Verify Guided Tours implementation 3) Complete Days 4-7 4) Test full functionality 5) Deploy to production. Reference: HOM-81 (Linear) Location: /home/ubuntu/homo-lumen-compendiums/navlosen-mvp/web-console/",mobile-simulator; nav-losen; urgent; code
Konstitusjons-Mandala Status Check,Nyra,2025-10-26,High,URGENT,"Konstitusjons-Mandala deadline is TODAY (26. oktober). Need status update: 1) Is it complete? 2) If not what's remaining? 3) Can deadline be extended? 4) Update HOM-16 in Linear. Reference: HOM-16 (Linear)",constitution; mandala; nyra; urgent
Deploy homo-lumen-resonans to Vercel,Code,2025-10-29,High,HIGH PRIORITY,"homo-lumen-resonans (3D visualization of 15-agent coalition) is NOT deployed yet. Steps: 1) Review repository: /home/ubuntu/homo-lumen-resonans 2) Test locally (npm run dev) 3) Create Vercel project 4) Configure build settings (Vite + React + Three.js) 5) Deploy to production 6) Update HOM-80 in Linear. Tech Stack: React + TypeScript + Vite + Three.js + Zustand + Tailwind. Reference: HOM-80 (Linear)",deployment; vercel; 3d-visualization; code
Collect ALL Agent SMKs from LKs and Google Drive,Code,2025-10-30,High,HIGH PRIORITY,"Only 12 SMKs found in GitHub unevenly distributed (Orion: 6 Manus: 3 Nyra: 1 Others: 0). Missing: #024-026 #031 #034. Hypothesis: 7 agents have SMK-worthy content in LKs. Tasks: 1) Search ALL agent Levende Kompendier 2) Search Google Drive 3) Search Notion 4) Extract and formalize hidden SMKs 5) Standardize SMK creation protocol 6) Update SMK_COMPLETE_DISCOVERY_OCT_26.md. Expected result: 15-20 total SMKs. Reference: HOM-89 (Linear)",smk; discovery; documentation; code; aurora
Fix Zapier MCP OAuth Authentication,Manus,2025-10-30,High,HIGH PRIORITY,"Zapier MCP has OAuth error. Need to re-authenticate. Steps: 1) Check MCP configuration 2) Re-authenticate Zapier OAuth 3) Test automation workflows 4) Document setup process 5) Update HOM-84 in Linear. Reference: HOM-84 (Linear) MCP_NETWORK_COMPLETE_DOCUMENTATION.md",mcp; zapier; oauth; automation; manus
Request Ubuntu Playground Access Credentials,Osvald,2025-10-31,High,HIGH PRIORITY,"Ubuntu Playground is blocked - need access credentials for Google Cloud Platform (GCP) and Hetzner Cloud. Steps: 1) Request GCP credentials from Osvald 2) Request Hetzner credentials from Osvald 3) Document access process 4) Update HOM-83 in Linear. Reference: HOM-83 (Linear)",ubuntu-playground; infrastructure; osvald
Convert All SMKs to YAML Frontmatter Format,Code,2025-11-05,Medium,MEDIUM PRIORITY,"Standardize all 12 SMKs to Nyra's YAML frontmatter format. Current status: 6 SMKs with YAML 6 SMKs without (old format). Steps: 1) Review Nyra's YAML format (SMK_2025_10_20 SMK_2025_10_21 SMK_2025_10_22) 2) Create conversion script or manual conversion 3) Convert all 12 SMKs 4) Rename to SMK_XXX format 5) Add missing dates and agent names 6) Commit to GitHub 7) Update HOM-86 in Linear. Reference: HANDOFF_TO_CODE_SMK_CONVERSION.md HOM-86 (Linear)",smk; yaml; standardization; code
Implement SMK Sync Workflow (GitHub → Notion),Code,2025-11-06,Medium,MEDIUM PRIORITY,"Create GitHub Actions workflow to automatically sync SMKs to Notion. Steps: 1) Create .github/workflows/sync-smk-to-notion.yml 2) Write Python script to parse SMK YAML frontmatter 3) Create Notion SMK Archive database 4) Implement Notion API integration 5) Test with SMK #019 6) Backfill all 12 SMKs 7) Update HOM-86 in Linear. Reference: .github/workflows/sync-to-notion.yml (LP sync template). Dependencies: Convert SMKs to YAML first",automation; github-actions; notion; smk; code
Extract 70-130 Learning Points from LKs and SMKs,Aurora,2025-11-08,Medium,MEDIUM PRIORITY,"Extract all Learning Points from 25+ Levende Kompendier (LKs) 12+ SMKs and agent conversations. Expected: 70-130 Learning Points. Steps: 1) Review all LK files 2) Identify LP-worthy insights 3) Extract and format as LP #XXX 4) Add to SLL via GitHub commits 5) Verify automatic sync to Notion 6) Update HOM-86 in Linear. Reference: LK_SMK_INVENTORY_OCT_26.md HOM-86 (Linear)",learning-points; sll; extraction; aurora; all-agents
Implement Ubuntu Playground MCP Server,Manus,2025-11-15,Medium,MEDIUM PRIORITY,"Create custom MCP server on Ubuntu Playground for remote code execution. Steps: 1) Setup Ubuntu Playground environment 2) Design MCP server architecture 3) Implement FastAPI MCP server 4) Create custom tools (execute_code file_operations git_operations deploy_to_vercel) 5) Deploy and expose publicly 6) Integrate with Manus 7) Test end-to-end workflow 8) Update HOM-87 in Linear. Reference: COMPLETE_AUTOMATION_ROADMAP_V1.0.md (Week 3) HOM-87 (Linear). Dependencies: Ubuntu Playground credentials",mcp; ubuntu-playground; infrastructure; manus; code
